State Code,State Name,Latitude,Longitude
AN,Andaman and Nicobar Islands,11.66703,92.73598
AP,Andhra Pradesh,14.75043,78.57003
AR,Arunachal Pradesh,27.1004,93.6166
AS,Assam,26.74998,94.21667
BR,Bihar,25.78541,87.47997
CH,Chandigarh,30.72,76.78001
CT,Chhattisgarh,22.09042,82.15999
DN,Dadra and Nagar Haveli,20.26658,73.01662
DD,Daman and Diu,20.3974,72.8328
DL,Delhi,28.66999,77.23
GA,Goa,15.492,73.818
GJ,Gujarat,22.2587,71.1924
HR,Haryana,28.45001,77.01999
HP,Himachal Pradesh,31.10003,77.1666
JK,Jammu and Kashmir,34.29996,74.46666
JH,Jharkhand,23.80039,86.41999
KA,Karnataka,12.57038,76.92
KL,Kerela,8.900373,76.56999
LA,Ladakh,34.2268,77.5619
LD,Lakshwadeep,10.56257,72.63687
MP,Madhya Pradesh,21.30039,76.13002
MH,Maharashtra,19.25023,73.16017
MN,Manipur,24.79997,93.95002
ML,Meghalaya,25.57049,91.88001
MZ,Mizoram,23.7104,92.72001
NL,Nagaland,25.667,94.11657
OR,Orrisa,19.82043,85.90002
PY,Pondicherry,11.93499,79.83
PB,Punjab,31.51997,75.98
RJ,Rajasthan,26.45,74.63998
SK,Sikkim,27.33333,88.61665
TN,Tamil Nadu,12.92039,79.15004
TG,Telengana,18.1124,79.0193
TR,Tripura,23.8354,91.28
UP,Uttar Pradesh,27.59998,78.05001
UT,Uttarakhand,30.32041,78.05001
WB,West Bengal,22.58039,88.32995
